trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,71.73158623446632,71.73158623446632,6,6,6,138,42,122,20,18,0,0,0,0.0,0,396,0,1169,2741,764,140,1029,282,887,0.24764991896272284,58.45,44.35,acbba_entry:887;collision_intent:140;state:142,0.25,0.0901639344262295,167,264.6815,14.5462,233.3667,14.1713,167,31.3148,0.424,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,98.37625525235119,98.37625525235119,9,9,9,220,56,185,39,29,1,1,0,0.0,0,512,0,1873,4351,1265,224,1649,448,1425,0.25586569579288027,93.65,71.25,acbba_entry:1425;collision_intent:224;state:224,0.3500000000000001,0.05810810810810807,106,344.5834,15.701,322.109,15.4596,106,22.4744,0.3877,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,113.7366945865792,113.7366945865792,13,13,13,217,65,166,55,26,0,0,0,0.0,0,635,0,1654,3892,1069,221,1433,442,1212,0.2487203350395533,82.7,60.6,acbba_entry:1212;collision_intent:221;state:221,0.25,0.09638554216867479,241,331.9551,10.6086,281.52,10.3702,241,50.4351,0.3716,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,104.36023458445456,104.36023458445456,11,11,11,181,60,142,43,13,4,3,0,0.0,0,609,0,1243,2925,801,191,1052,376,867,0.25404376784015226,62.15,43.35,acbba_entry:867;collision_intent:191;state:185,0.1499999999999999,0.12323943661971826,271,255.1542,14.8028,209.8021,14.4216,271,45.3521,0.3836,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,75.52452835773242,75.52452835773242,7,7,7,163,43,145,22,23,7,7,0,0.0,0,406,0,1640,3797,1120,168,1472,335,1305,0.25379560389757533,82.0,65.25,acbba_entry:1305;collision_intent:168;state:167,0.1499999999999999,0.03275862068965507,108,299.8634,12.6651,275.5366,12.2801,108,24.3268,0.404,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,64.3499225495083,64.3499225495083,7,7,7,143,37,119,28,22,6,3,2,10.0,1,342,0,1475,3416,1006,150,1325,297,1178,0.25327291037260824,73.75,58.9,acbba_entry:1178;collision_intent:150;state:147,0.19999999999999996,0.14915966386554613,90,305.8615,14.6926,286.4015,14.3189,90,19.46,0.3939,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,84.9910087890011,84.9910087890011,11,11,11,183,49,156,31,22,0,0,0,0.0,0,450,0,1329,3118,867,185,1144,372,957,0.25276967930029154,66.45,47.85,acbba_entry:957;collision_intent:185;state:187,0.17500000000000004,0.04166666666666674,114,297.4651,16.0638,270.1119,15.6835,114,27.3532,0.4007,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,110.97104786297604,110.97104786297604,11,11,11,218,63,168,54,20,5,5,0,0.0,0,614,0,1729,4071,1115,228,1501,450,1279,0.2476677032430031,86.45,63.95,acbba_entry:1279;collision_intent:228;state:222,0.07499999999999996,0.04166666666666674,191,472.7601,17.8041,423.0241,17.4198,191,49.736,0.4635,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,83.83471126179883,83.83471126179883,12,12,12,182,49,154,32,10,1,1,0,0.0,0,445,0,1054,2506,653,185,869,371,683,0.25076804915514594,52.7,34.15,acbba_entry:683;collision_intent:185;state:186,0.3500000000000001,0.07467532467532467,104,262.5223,15.8465,233.5505,15.4799,104,28.9718,0.5251,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,102.50089004215391,102.50089004215391,9,9,9,198,54,166,36,19,0,0,0,0.0,0,569,0,1371,3196,915,204,1167,406,965,0.2615032866533295,68.55,48.25,acbba_entry:965;collision_intent:204;state:202,0.2250000000000001,0.0843373493975903,207,427.7445,15.927,373.4898,15.5565,207,54.2547,0.6629,completed
10,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,87.13279823100893,87.13279823100893,12,12,12,171,50,138,37,10,9,8,1,5.0,1,492,0,1215,2905,737,181,1034,356,859,0.2378186511777993,60.75,42.95,acbba_entry:859;collision_intent:181;state:175,0.25,0.11956521739130443,164,337.4012,16.2761,296.187,15.8967,164,41.2142,0.4116,completed
11,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,86.59570808907908,86.59570808907908,11,11,11,195,50,158,41,26,3,3,0,0.0,0,459,0,1560,3645,1034,198,1362,397,1163,0.2531211750305998,78.0,58.15,acbba_entry:1163;collision_intent:198;state:199,0.07499999999999996,0.07278481012658222,92,370.4306,16.1295,344.6196,15.7351,92,25.811,0.3986,completed
12,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,78.01412476168439,78.01412476168439,4,4,4,142,45,130,16,10,0,0,0,0.0,0,444,0,969,2284,617,147,822,293,676,0.2508130081300813,48.45,33.8,acbba_entry:676;collision_intent:147;state:146,0.25,0.0807692307692307,201,329.4861,15.6785,280.3366,15.2855,201,49.1495,0.4075,completed
13,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,76.94083890348026,76.94083890348026,5,5,5,162,45,133,33,20,0,0,0,0.0,0,415,0,1367,3200,899,164,1203,330,1037,0.2492375935680621,68.35,51.85,acbba_entry:1037;collision_intent:164;state:166,0.07499999999999996,0.050751879699248104,126,392.3382,16.7734,360.0349,16.3405,126,32.3033,0.55,completed
14,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,82.49380502777147,82.49380502777147,11,11,11,175,47,154,25,18,0,0,0,0.0,0,437,0,1438,3381,925,180,1258,359,1079,0.24542318917484743,71.9,53.95,acbba_entry:1079;collision_intent:180;state:179,0.375,0.05844155844155852,125,391.4541,16.5943,357.2945,16.3087,125,34.1596,0.4778,completed
15,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h12_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,66.06713614934006,66.06713614934006,6,6,6,148,38,123,29,30,9,9,0,0.0,0,355,0,1567,3652,1047,152,1415,304,1263,0.2467593683714353,78.35,63.15,acbba_entry:1263;collision_intent:152;state:152,0.30000000000000004,0.08333333333333326,95,468.0203,18.944,440.0836,18.5278,95,27.9367,0.4224,completed
