trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,00,31,5,0,32,0,1,0,0,0,0.0,0,0,128,64,64,306,57,18,7.6211,0.42339444444444446,0.40775,0.819,0.819,3.7367,0.20759444444444444,0.1171,0.6092,0.6092,18,3.8844,0.2158,0.1743,0.3231,0.3231,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,01,24,5,0,25,0,1,0,0,0,0.0,0,0,111,51,60,300,79,45,15.9471,0.35438000000000003,0.2595,0.779,1.2756,7.6177,0.16928222222222222,0.0994,0.512,1.019,45,8.3294,0.18509777777777778,0.1493,0.3237,0.384,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,02,31,4,2,27,5,1,0,0,0,0.0,0,0,126,63,63,288,76,19,9.2419,0.4864157894736842,0.4156,1.0234,1.0234,5.2315,0.2753421052631579,0.1847,0.6995,0.6995,19,4.0104,0.2110736842105263,0.1829,0.3241,0.3241,completed
0,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,03,31,6,0,29,3,1,0,0,0,0.0,0,0,126,64,62,297,67,14,6.5395,0.4671071428571429,0.38355,0.9945,0.9945,3.5354,0.25252857142857144,0.16875,0.6331,0.6331,14,3.0040999999999998,0.21457857142857142,0.1736,0.3614,0.3614,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,00,26,5,2,20,7,0,0,0,0,0.0,0,0,104,54,50,301,63,46,14.6844,0.3192260869565217,0.2417,0.567,1.4339,6.7844,0.14748695652173913,0.08825,0.3624,1.0829,46,7.9,0.17173913043478262,0.1447,0.3109,0.351,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,01,34,5,3,21,14,0,1,1,0,0.0,0,0,122,70,52,272,75,14,6.5757,0.4696928571428572,0.39165,1.4819,1.4819,3.5437,0.25312142857142855,0.2132,1.1213,1.1213,14,3.032,0.21657142857142858,0.18625,0.3606,0.3606,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,02,35,7,0,35,1,1,0,0,0,0.0,0,0,123,71,52,288,58,15,7.0237,0.46824666666666664,0.3356,1.2153,1.2153,3.8479,0.2565266666666667,0.1384,0.9006,0.9006,15,3.1758,0.21172000000000002,0.1789,0.3179,0.3179,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,03,35,3,2,28,8,0,0,0,0,0.0,0,0,120,71,49,286,62,15,6.5408,0.43605333333333335,0.3947,1.2364,1.2364,3.4478,0.22985333333333333,0.1274,0.9741,0.9741,15,3.093,0.2062,0.1762,0.3266,0.3266,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,00,29,5,0,29,1,3,0,0,0,0.0,0,0,119,60,59,288,65,15,7.4475999999999996,0.49650666666666665,0.4005,1.2547,1.2547,4.3393,0.28928666666666664,0.2386,0.91,0.91,15,3.1083,0.20722,0.1785,0.3787,0.3787,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,19,361,4,20,targets_20_acbba_h2_bernoulli_025,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,01,30,2,3,23,8,2,0,0,0,0.0,0,0,121,61,60,290,61,13,6.0498,0.4653692307692308,0.4217,0.8436,0.8436,3.5938,0.27644615384615384,0.2507,0.6216,0.6216,13,2.456,0.18892307692307692,0.1861,0.222,0.222,completed
