trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,42.831219985668675,42.831219985668675,0,0,0,88,25,92,0,1,0,0,0,0.0,0,233,0,242,723,0,91,151,183,59,0.0,12.1,2.95,collision_intent:91;hipc_clear_bundle:4;hipc_entry:55;state:92,0.07499999999999996,0.04347826086956519,96,104.4674,8.6062,80.0879,4.8684,96,24.3795,3.7378,completed
1,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,58.91182758903982,58.91182758903982,0,0,0,84,34,88,0,2,0,0,0,0.0,0,366,0,226,675,0,87,139,175,51,0.0,11.3,2.55,collision_intent:87;hipc_clear_bundle:5;hipc_entry:46;state:88,0.125,0.20454545454545459,231,142.0709,4.8983,91.8047,4.4977,231,50.2662,0.5075,completed
2,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,52.63476432983093,52.63476432983093,0,0,0,100,30,103,1,4,0,0,0,0.0,0,296,0,274,819,0,104,170,208,66,0.0,13.7,3.3,collision_intent:104;hipc_clear_bundle:6;hipc_entry:60;state:104,0.19999999999999996,0.10922330097087385,128,95.6608,3.4637,70.9514,3.1891,128,24.7094,0.408,completed
3,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,54.43207735622855,54.43207735622855,0,0,0,97,32,98,3,2,1,1,0,0.0,0,316,0,255,762,0,101,154,202,53,0.0,12.75,2.65,collision_intent:101;hipc_clear_bundle:4;hipc_entry:49;state:101,0.1499999999999999,0.11734693877551017,160,124.2725,3.86,83.549,3.5688,160,40.7235,0.4647,completed
4,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,47.05226544019741,47.05226544019741,0,0,0,86,27,90,0,0,0,0,0,0.0,0,271,0,224,669,0,89,135,179,45,0.0,11.2,2.25,collision_intent:89;hipc_clear_bundle:3;hipc_entry:42;state:90,0.125,0.10555555555555562,124,96.4268,5.0149,71.7891,4.5222,124,24.6377,0.4927,completed
5,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,51.49224937679499,51.49224937679499,0,0,0,102,30,102,4,1,0,0,0,0.0,0,286,0,275,822,0,106,169,212,63,0.0,13.75,3.15,collision_intent:106;hipc_clear_bundle:5;hipc_entry:58;state:106,0.25,0.08333333333333326,115,112.9962,4.8083,84.038,4.3678,115,28.9582,0.4536,completed
6,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,51.65262370751959,51.65262370751959,0,0,0,101,30,105,0,4,2,2,0,0.0,0,292,0,281,840,0,106,175,211,70,0.0,14.05,3.5,collision_intent:106;hipc_clear_bundle:5;hipc_entry:65;state:105,0.17500000000000004,0.088095238095238,122,95.3678,3.2132,71.3742,2.9207,122,23.9936,0.428,completed
7,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,66.32423348703934,66.32423348703934,2,2,2,120,38,118,6,2,1,1,0,0.0,0,385,0,337,1008,0,126,211,250,87,0.0,16.85,4.35,collision_intent:126;hipc_clear_bundle:7;hipc_entry:80;state:124,0.19999999999999996,0.08898305084745761,177,130.7675,4.7047,93.8315,4.2619,177,36.936,0.4428,completed
8,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,44.28940466074369,44.28940466074369,0,0,0,86,26,90,0,3,0,0,0,0.0,0,249,0,246,735,0,90,156,180,66,0.0,12.3,3.3,collision_intent:90;hipc_clear_bundle:5;hipc_entry:61;state:90,0.17500000000000004,0.10555555555555562,115,103.8157,5.343,78.8936,4.8978,115,24.9221,0.466,completed
9,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,48.21175757035811,48.21175757035811,0,0,0,93,28,96,1,3,0,0,0,0.0,0,274,0,242,723,0,97,145,194,48,0.0,12.1,2.4,collision_intent:97;hipc_clear_bundle:2;hipc_entry:46;state:97,0.07499999999999996,0.09895833333333326,118,91.2972,3.8229,66.4464,3.3802,118,24.8508,0.4837,completed
10,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,43.05069278180063,43.05069278180063,0,0,0,89,25,93,0,3,0,0,0,0.0,0,235,0,250,747,0,92,158,185,65,0.0,12.5,3.25,collision_intent:92;hipc_clear_bundle:6;hipc_entry:59;state:93,0.19999999999999996,0.045698924731182755,96,121.9093,4.8713,95.3663,4.4175,96,26.543,0.4926,completed
11,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,44.00596331992512,44.00596331992512,1,1,1,94,26,94,4,4,0,0,0,0.0,0,238,0,246,735,0,97,149,195,51,0.0,12.3,2.55,collision_intent:97;hipc_clear_bundle:3;hipc_entry:48;state:98,0.19999999999999996,0.015957446808510634,88,90.5808,4.3817,67.3677,3.9754,88,23.2131,0.4487,completed
12,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,50.84255709979715,50.84255709979715,0,0,0,100,30,103,1,2,0,0,0,0.0,0,283,0,260,777,0,103,157,207,53,0.0,13.0,2.65,collision_intent:103;hipc_clear_bundle:4;hipc_entry:49;state:104,0.10000000000000009,0.05582524271844669,121,115.8648,4.3284,85.4408,3.8662,121,30.424,0.4622,completed
13,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,51.32870742786684,51.32870742786684,0,0,0,89,30,93,0,2,0,0,0,0.0,0,300,0,234,699,0,92,142,185,49,0.0,11.7,2.45,collision_intent:92;hipc_clear_bundle:3;hipc_entry:46;state:93,0.10000000000000009,0.11559139784946226,157,100.9356,3.9875,70.1864,3.7001,157,30.7492,0.4005,completed
14,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,55.372307274226024,55.372307274226024,0,0,0,99,32,103,0,4,0,0,0,0.0,0,325,0,258,771,0,102,156,205,53,0.0,12.9,2.65,collision_intent:102;hipc_clear_bundle:5;hipc_entry:48;state:103,0.25,0.08495145631067968,151,109.3463,10.1455,80.0082,9.8466,151,29.3381,0.5537,completed
15,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,51.825565833105955,51.825565833105955,1,1,1,107,30,107,4,7,2,2,0,0.0,0,284,0,295,882,0,112,183,223,72,0.0,14.75,3.6,collision_intent:112;hipc_clear_bundle:3;hipc_entry:69;state:111,0.19999999999999996,0.04439252336448596,101,106.7003,3.374,83.485,3.073,101,23.2153,0.4443,completed
16,known_visit,HIPC,ideal,1.0,19,361,4,20,targets_20_hipc_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,41.121851402449174,41.121851402449174,0,0,0,81,24,84,1,1,0,0,0,0.0,0,231,0,217,648,0,84,133,169,48,0.0,10.85,2.4,collision_intent:84;hipc_clear_bundle:3;hipc_entry:45;state:85,0.1499999999999999,0.06547619047619047,102,88.0353,3.8347,65.2032,3.3995,102,22.8321,0.4594,completed
