trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,53.677680683980945,53.677680683980945,0,0,0,99,31,102,1,12,2,2,0,0.0,0,307,0,1069,3204,0,106,963,209,860,0.0,53.45,43.0,acbba_entry:860;collision_intent:106;state:103,0.07499999999999996,0.09313725490196068,146,207.6646,12.399,176.1408,11.9314,146,31.5238,0.4676,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,44.65978584727647,44.65978584727647,0,0,0,83,25,86,1,7,0,0,0,0.0,0,256,0,781,2340,0,91,690,178,603,0.0,39.05,30.15,acbba_entry:603;collision_intent:91;state:87,0.07499999999999996,0.08139534883720922,130,153.6246,8.5725,122.7665,8.206,130,30.8581,0.3943,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,55.82835392050698,55.82835392050698,0,0,0,96,32,100,0,23,0,0,0,0.0,0,333,0,1118,3351,0,102,1016,202,916,0.0,55.9,45.8,acbba_entry:916;collision_intent:102;state:100,0.25,0.1399999999999999,176,240.4701,8.103,202.6385,7.7312,176,37.8316,0.3747,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,69.51130238109782,69.51130238109782,0,0,0,84,40,88,0,3,0,0,0,0.0,0,454,0,584,1749,0,88,496,176,408,0.0,29.2,20.4,acbba_entry:408;collision_intent:88;state:88,0.1499999999999999,0.28409090909090917,315,187.242,9.1431,131.7489,8.7629,315,55.4931,0.402,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,69.95719670892325,69.95719670892325,0,0,0,90,40,93,1,2,0,0,0,0.0,0,452,0,649,1944,0,93,556,187,462,0.0,32.45,23.1,acbba_entry:462;collision_intent:93;state:94,0.2749999999999999,0.3413978494623655,287,216.8934,8.9828,155.6308,8.6187,287,61.2626,0.4116,completed
5,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,54.538490963693334,54.538490963693334,0,0,0,107,32,107,4,17,2,2,0,0.0,0,309,0,1303,3906,0,115,1188,226,1077,0.0,65.15,53.85,acbba_entry:1077;collision_intent:115;state:111,0.17500000000000004,0.11915887850467288,143,321.7154,9.3693,284.3679,9.0775,143,37.3475,0.3949,completed
6,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,74.19141720965432,74.19141720965432,0,0,0,94,43,96,2,3,0,0,0,0.0,0,475,0,620,1857,0,97,523,195,425,0.0,31.0,21.25,acbba_entry:425;collision_intent:97;state:98,0.19999999999999996,0.19791666666666674,316,224.9154,10.4061,157.0068,10.026,316,67.9086,0.3949,completed
7,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,77.41514080106859,77.41514080106859,1,1,1,101,44,102,3,10,1,1,0,0.0,0,495,0,1014,3039,0,105,909,210,804,0.0,50.7,40.2,acbba_entry:804;collision_intent:105;state:105,0.3500000000000001,0.22058823529411775,324,303.0032,9.2558,237.9536,8.9033,324,65.0496,0.4142,completed
8,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,54.71553597985312,54.71553597985312,0,0,0,73,32,77,0,2,0,0,0,0.0,0,348,0,471,1410,0,76,395,153,318,0.0,23.55,15.9,acbba_entry:318;collision_intent:76;state:77,0.2250000000000001,0.2629870129870129,228,164.6746,7.7157,110.2088,7.4913,228,54.4658,0.4781,completed
9,known_visit,ACBBA,ideal,1.0,19,361,4,20,targets_20_acbba_h8_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t20_n25.csv,20,True,46.181145441570294,46.181145441570294,0,0,0,100,27,102,2,12,1,1,0,0.0,0,245,0,905,2712,0,109,796,213,692,0.0,45.25,34.6,acbba_entry:692;collision_intent:109;state:104,0.125,0.03921568627450989,94,219.4481,10.3606,193.3001,10.0057,94,26.148,0.4242,completed
