trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(10,12);(15,17);(16,5);(18,18);(2,11)",5,True,39.83648540755846,39.83648540755846,00:1;01:1;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,5);(4,11);(18,18);(11,18)",235,0,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(6,10);(3,16);(7,16);(10,1);(0,8)",5,True,17.880003336121884,17.880003336121884,00:1;01:1;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(10,1);(0,8);(6,10);(7,16)",107,0,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(11,5);(9,8);(7,14);(2,13);(6,6)",5,True,26.605835440944084,26.605835440944084,00:0;01:3;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(6,0);(11,5);(3,13);(7,14)",168,0,completed
3,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(17,11);(3,15);(1,18);(7,6);(1,16)",5,True,36.44084514616715,36.44084514616715,00:0;01:2;02:1;03:2,"(0,0);(0,6);(0,12);(0,18)","(1,2);(17,11);(3,15);(1,16)",249,0,completed
4,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(16,4);(18,8);(10,9);(18,7);(0,7)",5,True,33.52667625048176,33.52667625048176,00:1;01:3;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(16,4);(18,8);(12,9);(0,11)",190,0,completed
5,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(6,13);(13,10);(17,11);(4,4);(3,2)",5,True,32.9937421365004,32.9937421365004,00:0;01:2;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(1,0);(3,2);(17,11);(6,13)",215,0,completed
6,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(5,3);(0,2);(18,10);(4,4);(15,5)",5,True,46.86604018610115,46.86604018610115,00:1;01:0;02:2;03:2,"(0,0);(0,6);(0,12);(0,18)","(0,2);(0,5);(15,5);(5,3)",312,0,completed
7,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(3,12);(12,6);(11,9);(18,10);(18,11)",5,True,32.90865600047788,32.90865600047788,00:0;01:2;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(2,0);(11,9);(18,10);(4,18)",209,0,completed
8,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(1,9);(5,12);(12,11);(12,3);(8,6)",5,True,34.89567886188482,34.89567886188482,00:2;01:1;02:0;03:2,"(0,0);(0,6);(0,12);(0,18)","(12,3);(1,9);(3,11);(12,11)",220,0,completed
9,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(11,11);(5,17);(9,14);(0,2);(15,0)",5,True,34.15044518976902,34.15044518976902,00:1;01:1;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(0,4);(15,0);(9,14);(5,17)",214,0,completed
10,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(4,6);(17,7);(6,4);(2,9);(5,2)",5,True,36.692208086310245,36.692208086310245,00:1;01:3;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(5,2);(17,7);(2,9);(1,18)",251,0,completed
11,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(2,12);(0,8);(5,10);(2,1);(18,8)",5,True,36.6519107813964,36.6519107813964,00:1;01:1;02:3;03:0,"(0,0);(0,6);(0,12);(0,18)","(2,1);(0,8);(18,8);(2,18)",258,0,completed
12,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(16,3);(2,14);(18,11);(0,2);(3,2)",5,True,48.9032578899472,48.9032578899472,00:2;01:0;02:2;03:1,"(0,0);(0,6);(0,12);(0,18)","(3,2);(0,5);(16,3);(2,14)",341,0,completed
13,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(0,8);(16,15);(6,9);(3,2);(8,8)",5,True,30.9665958454443,30.9665958454443,00:1;01:3;02:1;03:0,"(0,0);(0,6);(0,12);(0,18)","(3,2);(8,8);(16,15);(1,16)",201,0,completed
14,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h2_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,"(13,10);(10,18);(17,7);(16,7);(16,5)",5,True,34.64471988367363,34.64471988367363,00:1;01:2;02:1;03:1,"(0,0);(0,6);(0,12);(0,18)","(16,5);(17,7);(13,10);(12,18)",189,0,completed
