trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,blocked_task_quarantines,blocked_task_quarantine_time_s,maximum_quarantine_level,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,allocator_calls,allocator_time_ms_total,allocator_time_ms_mean,allocator_time_ms_median,allocator_time_ms_p95,allocator_time_ms_max,allocator_solve_time_ms_total,allocator_solve_time_ms_mean,allocator_solve_time_ms_median,allocator_solve_time_ms_p95,allocator_solve_time_ms_max,candidate_filter_calls,candidate_filter_time_ms_total,candidate_filter_time_ms_mean,candidate_filter_time_ms_median,candidate_filter_time_ms_p95,candidate_filter_time_ms_max,trial_status
0,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,00,23,1,0,23,1,0,0,0,0,0.0,0,0,93,48,45,286,0,31,8.0815,0.2606935483870968,0.1714,0.6499,0.7126,3.8072,0.12281290322580644,0.0572,0.461,0.5227,31,4.2743,0.13788064516129034,0.1165,0.2083,0.2125,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,01,26,2,0,26,1,1,0,0,0,0.0,0,0,109,55,54,271,0,16,5.4011,0.33756875,0.296,0.6008,0.6008,2.5231,0.15769375,0.10575000000000001,0.4163,0.4163,16,2.878,0.179875,0.1849,0.2095,0.2095,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,02,19,1,0,20,0,6,0,0,0,0.0,0,0,86,40,46,293,0,46,11.111,0.24154347826086958,0.1812,0.559,0.7216,5.0875,0.11059782608695654,0.06409999999999999,0.3597,0.5246,46,6.0235,0.13094565217391305,0.11705,0.1993,0.2017,completed
0,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,03,18,1,0,19,0,2,0,0,0,0.0,0,0,92,41,51,287,0,45,13.3603,0.2968955555555556,0.2964,0.5021,0.8551,5.6154,0.12478666666666667,0.1124,0.3028,0.5978,45,7.7448999999999995,0.17210888888888887,0.183,0.2037,0.2573,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,00,11,1,0,12,0,0,0,0,0,0.0,0,0,38,23,15,91,0,5,1.2896,0.25792000000000004,0.2554,0.3042,0.3042,0.5404,0.10808,0.095,0.1659,0.1659,5,0.7492,0.14984,0.161,0.1765,0.1765,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,01,2,1,0,3,0,0,0,0,0,0.0,0,0,21,6,15,107,0,28,7.6491,0.2731821428571429,0.25425,0.4076,0.4828,2.8207999999999998,0.10074285714285713,0.0891,0.1744,0.3429,28,4.8283,0.1724392857142857,0.1761,0.2261,0.2657,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,02,8,1,0,9,0,1,0,0,0,0.0,0,0,35,18,17,93,0,11,3.3094,0.3008545454545455,0.2489,0.8029,0.8029,1.4421000000000002,0.13110000000000002,0.085,0.5823,0.5823,11,1.8673,0.16975454545454546,0.1776,0.2206,0.2206,completed
1,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,03,9,2,0,10,0,0,0,0,0,0.0,0,0,35,20,15,93,0,6,1.5809,0.26348333333333335,0.26539999999999997,0.3642,0.3642,0.6954,0.1159,0.08985,0.2457,0.2457,6,0.8855,0.14758333333333332,0.15005000000000002,0.1802,0.1802,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,00,0,0,0,1,0,0,0,0,0,0.0,0,0,10,1,9,99,0,104,22.6711,0.21799134615384613,0.195,0.3355,0.3747,7.947,0.07641346153846154,0.06395,0.1343,0.1953,104,14.7241,0.14157788461538462,0.1194,0.2141,0.2179,completed
2,known_visit,ACBBA,ideal,1.0,19,361,4,5,targets_5_acbba_h5_ideal,C:\Users\lottj\Desktop\research\decentralized benchmark\commitment-horizon-study\scenarios\known_visit_g19_t5_n25.csv,01,0,0,0,1,0,0,0,0,0,0.0,0,0,11,1,10,98,0,104,22.8465,0.2196778846153846,0.19424999999999998,0.3392,0.6258,8.0807,0.07769903846153846,0.0628,0.1296,0.4108,104,14.7658,0.14197884615384615,0.13040000000000002,0.2129,0.2179,completed
